"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Parolise",661,"Antonio Ferullo","Parolisani","Serra",83050,3.22,1,"Il nome deriva forse dal latino Praedium Paulisium e quindi dal greco Paulision, Παυλίσιον; secondo altri invece il nome deriverebbe da padule, cioè orto","I ""cippi Graccani"" con iscrizioni di età repubblicana sono le uniche testimonianze archeologiche di Parolise. Il primo documento nel quale si trova il toponimo ""Parolisio"" è tanto antico quanto autorevole; si tratta della bolla di papa Celestino III del 4 novembre 1197, nella quale il Papa, curandosi di porre una difesa ai beni temporali della Abbazia di Montevergine, ne dà lunghi elenchi. Tra i beni qui elencati compaiono anche i territori di Candida e, appunto, ""Parolisio"". Da questo documento si può accertare, naturalmente, solo l'esistenza di un territorio, forse nemmeno abitato, che era contiguo con i territori di Candida e che portava tale nome. Si parla ancora di Parolise in un documento, probabilmente del 1340, che elenca i casali che certo Filippo Filangieri aveva unito per creare la baronia di Candida.","San Rocco","16 agosto","Informazione assente","Informazione assente","Informazione assente",0,19,2,"mountain bike","sagra del fusillo e della porchetta","40.930816995799574, 14.886366423029534","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/d6d3a70e-ffec-4011-9c8b-5b64546a1d59.jpg","wikipedia, sito comune","",
"Paternopoli",2377,"Salvatore Cogliano","Paternesi","Informazione assente",83052,18.43,0,"Il nome del paese deriva del greco patèr, πατήρ, e pòlis, πόλις, ossia ""città del padre"".","Pesantemente danneggiato dal terremoto del 23 novembre 1980.","San Nicola","6 dicembre","Informazione assente","Informazione assente","Informazione assente","",51,4,"mountain bike","carnevale paternese, carri di partenopoli","40.97253505851617, 15.03226644239714","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/6f41c473-384f-4e0d-b48b-712358e01f46.jpg","wikipedia, sito comune","",
"Petruro Irpino",289,"Giuseppe Lombardi","Petruresi","Lago",83010,3.14,1,"Il nome deriva dal latino ""Petra"" (rupe, roccia), oppure secondo altri da ""Petrurium"", pietra-roccia. Ipotesi entrambe plausibili considerando l'orografia del luogo","Nel 1240 il paese era il casale di Montefusco. Fu per lungo tempo un feudo in epoca angioina per poi soccombere alla potenza spagnola a partire dal 1645.La sua indipendenza arriverà esclusivamente a partire dal 1827.","San Bartolomeo apostolo","24 agosto","Medievale","XII",1240,3,8,1,"Informazione assente","Festa di San Nicola, festa Del Maio e festa di San Bartolomeo","41.031421286041926, 14.795530552242282","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/521395e3-0d4e-4d81-a0b7-c25ed110ca86.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info","",
"Pietradefusi",2326,"Giulio Belmonte","Pietradefusani","Dentecane, Pappaceci, Pietra, Sant'Angelo a Cancelli, Sant'Elena Irpina, Vertecchia",83030,9.24,6,"Il suo nome deriva dalla ""pietra"" con cui furono costruire le prime abitazioni, erette da parte di gente di origini diverse, e qui ""fuse"" nell'Università di ""Pietra de'Fusi""","La cittadina è stata fondata nel XII secolo. La prima incursioni umana fu quella di popoli nomadi come gli Osci o i Sanniti. La sua fama storica è quella, di un popolo assai bellicoso. Pietradefusi al tempo, Fusole, militò infatti nella seconda guerra punica, al fianco di Annibale. Ma anche tra il '300 e il '500 si impegnò in numerose guerre civile nello stesso sud Italia. Vantò per lungo tempo della protezione ecclesiastica essendo legato, al monastero di Montevergine. Si svincolò da essa solo nel 1724 quando, entrò legittimamente a far parte del Regno di Napoli.","San Faustino e Sant'Elena","Seconda domenica di agosto","Medievale","Informazione assente","Informazione assente",10,13,4,"Cammino di Sant'Elena, percorso ciclabile di Pietradefusi","Festa di Sant'Elena e San Faustino, Sagra del fusillo e della braciola","41.0426461736106, 14.883964160206817","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/a59138dc-f608-4220-8977-167c65e67475.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info","",
"Pietrastornina",1526,"Amato Rizzo","Pietrastorninesi","Non ha frazioni",83015,16.13,0,"Il nome del paese deriva dal latino ""petra sturnina"", ossia la pietra dal colore del storno, il mantello equino (grigio scuro).","La città è stata fondata nel 971 come contado feudale. Durante la dominazione sveva tra il 1194 e il 1266 era sotto il controllo del re Manfredi. Infine dopo la battaglia di Benevento il feudo passò nelle mani di Carlo I D'Angiò, entrando a far parte del Regno di Napoli.","San Biagio","3 febbraio","Medievale","X",971,12,6,3,"Visite guidate al Castello di Pietrastornina e al Museo Romano di Pietrastornina","Festa di San Biagio, Festa di San Pietro e Paolo, Music festival di Pietrastornina e sagra dei culorgiones","40.99238252659637, 14.72510933919948","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/31a14e56-8d1d-4dd9-82d5-30a3dc01df80.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info","",
"Prata di Principato Ultra",2995,"Petruzziello Bruno Francesco","Pratesi","Ponte Sabato, Tavernanova",83030,11.39,2,"Il nome deriva da ""pratum"" mentre la specifica ""Principato Ultra"" è successiva, attribuita dopo l'unità d'Italia per indicare la giurisdizione a cui apparteneva.","Il territorio oggi appartenete al comune è stato abitato sia dall'epoca preistorica e sono emersi diversi villaggi irpini nei guadi del fiume Sabato. La  vera fondazione risale però al 1070.","San Giacomo","25 luglio","Medievale","XI",1070,13,8,3,"Visite guidate alla Torre Civica e al Palazzo Baronale. Cammino naturalistico nei pressi del Mulino Vecchio","Festa di San Giacomo, mercatini di Natale, sagra del vino","40.98634121716963, 14.84086484161647","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/efcaf557-44af-488c-8a26-61428e020335.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info","",
"Pratola Serra",3863,"Emanuele Aufiero","Pratolani","Serra di Pratola, San Michele di Pratola, Saudelle, Scoppole, Nocione, Acquaviva, Cocciacavallo",83039,9.24,7,"L'etimologia deriva dal latino ""pratulum"" , al plurale ""pratula"". Dal latino deriva anche il toponimo serra ovvero, altura o collina.","Il contado fu acquistato per la prima volta dalla famiglia Tocco di Montemiletto a cui rimase fino all'eversione della feudalità nel 1806. La fondazione del comune odierno risale però al 1812.","Madonna Addolorata e San Gerardo","Prima domenica di settembre","Moderna","XIX",1812,10,12,5,"Visita guidata nel castello di Pratola Serra. Giro turistico ed enogastonomico del territorio.","Mercato settimanale, la sagra della polpetta, presepe vivente, raduno di auto e moto d'epoca e festa del Santo Patrono.","40.9863830583692, 14.85362005074117","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/bcd5654f-0b15-43d2-ab61-9a5a84d1cf3c.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info,","",
"Quadrelle",1678,"Simone Rozza","Quadrellesi","Non ha frazioni",83020,6.39,0,"Il nome del paese deriva dal latino ""quadra"", ossi appezzamenti di terreno quadrati.","Il casale di quadrelle fu fondato nel 1100 sui resti di una villa di età augustea. Per lungo tempo fu possedimento Svevo ma, nel 1312, per volontà di Roberto D'Angiò, fu ceduto come feudo all'abbazia di Montevergine. A partire dal 1700 il paese iniziò a modellarsi nella forma con cui si presenta oggi.","San Giovanni Battista","24 giugno","Medievale","XI",1100,14,20,2,"Percorso Ponte Acquaserta, trekking, mountain bike","Mercato settimanale, festa patronale e sagra del vino","40.94784879964667, 14.639744166190605","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/9b033e7b-36dc-4a32-9e72-aa6bddcc3dbe.jpg","Wikipedia.it, comuniitaliani.it, irpinia.info","",
"Quindici",1936,"Eduardo Rubinaccio","Quindicesi","Beato, Bosagro",83020,24.05,2,"Il nome deriva dal numerale ordinale quindecim, ossia quindici, forse una misura agraria o una distanza non ben definita.","Il suo territorio fu abitato sin dalla preistoria. In epoca storica vi si insediarono: Etruschi, greci, sanniti e infine i Romani. Questi ultimi sconfissero i sanniti nel 312 a.c. Al tempo dei romani c'erano quindici masserie, i romani alla ricerca di un appellativo per quest'area iniziarono a usare l'espressione ""ad quindecim praedia"". Successivamente questa locuzione è stata abbreviata a ""quindecim"", in italiano quindici.","SS. Maria delle Grazie","8 settembre","Antica","Informazione assente","Informazione assente",6,25,3,"Trekking, Mountain bike","Mercato, Carnevale, Settimana Santa","40.864997, 14.646564","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/6478df60-dc70-4647-8752-dde558ae572f.jpg","Wikipedia, comuni italiani.it","",
"Rocca San Felice",843,"Guido Cipriano","Rocchesi","Non ha frazioni",83050,14.41,0,"Il primo termine fa riferimento al luogo, un'altura, ma potrebbe anche indicare un borgo, una cittadella. San Felice, invece è in onore del patrono del luogo.","Sede, in epoca preromana, di un tempio dedicato alla dea Mefite, fu conquistata dai romani nel 311 a.C. In epoca longobarda vi fu eretta una fortezza adibita alla difesa dei confini tra il principato di Salerno e quello di Benevento, attorno alla quale si sviluppò poco dopo un agglomerato urbano. Inglobata in epoca angioina tra i feudi di Landolfo d'Aquino (1300), passò poi ai Saraceno, ai Caracciolo e, nel 1594, a Giovanni Battista Reale, che si fregiò del titolo di barone. I Capobianco, signori di Carife, ne assunsero la giurisdizione nel XVII secolo, mantenendola fino all'eversione della feudalità, avvenuta nel regno di Napoli nel 1806 sotto Giuseppe Bonaparte. La sua storia seguente non evidenzia particolari avvenimenti di rilievo e quella del resto della provincia. Il toponimo, citato nel Catalogus Baronum (1150-1168), è un composto del sostantivo “rocca” e di un agionimo. Del castello medievale, arroccato su uno sperone roccioso, restano una torre cilindrica e parti della cinta muraria. Nel centro storico si erge la chiesa di Santa Maria Maggiore, edificata nel XII secolo.","San Felice","14 gennaio","Antica","Informazione assente","Informazione assente",5,17,3,"Trekking, mountain bike","Mercato, feste medioevali,","40.949625, 15.167572","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/f2018763-8dfb-4157-abd5-95d750bc952c.jpg","comuniitaliani.it, comune di rocca san felice, wikipedia, eventiesagre.it","",
"Roccabascerana",2352,"Roberto del Grosso","Rocchesi","Cassano Caudino, Rocca, Squillani, Tufara Valle, Tuoro, Zolli",83016,12.46,6,"Il termine ""rocca"" fa riferimento alla natura del luogo, mentre la seconda parte del nome forse deriva dal tedesco guass, che significa vassallo, oppure potrebbe derivare dal latino medioevale gascherarare, che significa aprire. Con la seconda interpretazione il luogo assume il significato di rocca spaccata, aperta.","Sotto la dominazione degli Svevi, Roccabascerana, appartenne al normanno Giovanni Mascabruno capitano di Manfredi. Con l'avvento di Carlo I d'Angiò questa terra nel 1269 fu concessa a Ruggiero di Burson e nel 1271 al figlio Riccardo di Burson. Durante il regno della regina Giovanna il feudo pervenne ai Della Marra, a cui fu tolta nel 1464 dal re Ferrante I d'Aragona a seguito della ribellione di Antonio della Marra. Nel 1467 il feudo passò agli Sperone; nel 1482 ai Dentice e nel 1484 ai Brancaccio. Nel 1486 passò agli Spinelli che lo tennero sino al 1560 quando passò ai D'Aquino. Nel 1669 il feudo entrò nel possesso dei Capecelatro che nel 1712 lo vendettero ai Della Leonessa principi di Sepino e Duchi di S. Martino. Questi ultimi lo tennero sino alla fine della feudalità nel 1806.","San Giorgio e San Leonardo","23 aprile","Medievale","Informazione assente","Informazione assente",5,29,4,"Trekking","Mercato, sagra laganelle e ceci","41.018642, 14.715702","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/b3a4b335-ed5e-4894-ab97-2621174b3e8f.jpg","comuniitaliani.it, wikipedia, eventiesagre.it","",
"Rotondi",3424,"Russo Antonio","Rotondesi","Campizze",83017,8.22,1,"L'origine del nome è incerta, forse deriva dal latino Rotondum, oppure dal nome della famiglia proprietaria del feudo, De Rotundis.","Il rinvenimento di alcune tombe in zone elevate ma non lontane dall'attuale centro di Rotondi, conferma la frequentazione del suo territorio in epoche remote, sia al tempo dei ""Samnites"", che in loco dovevano essere Hirpini o Caudini, che dei Romani. Al 1245 risalgono i primi documenti i cui si fa riferimento al ""Castrum Rotondorum"", il castello della famiglia feudataria de Rotundis. Successivamente, feudatari di Rotondi furono i Della Leonessa, i Carafa e i Caracciolo. Durante la dominazione francese il feudo divenne comune.","San Michele Arcangelo","29 settembre","Antica","Informazione assente","Informazione assente",6,30,6,"Mountain bike, trekking, percorsi in moto e auto","Festa di san Michele arcangelo","41.032745, 14.595171","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/2ac6e1cb-0558-4652-87e2-eda4b5697bfe.jpg","irpiniainfo, wikipedia, comuniitaliani.it","",
"Salza Irpina",751,"Luigi Cella","Salzesi","Non ha frazioni",83050,5.36,0,"Il nome deriva dal latino salsus, salato, in riferimento alla sorgente presente in zona. Successivamente si è aggiunto ""Irpina"" per distinguere il nome dagli altri comuni omonimi.","Salza risale al periodo romano, questo testimoniato dai numerosi ritrovamenti archeologici. Nel 1137 Salza rientrava tra i possedimenti del longobardo Raidolfo, conte di Avellino, alla cui morte subentrò il normanno Ruggero. Seguì poi la dominazione Sveva. Nel 1379 suo Signore era Cristofaro Grillo di Salerno. Venne poi la volta di Costanza Grillo, che sposò Simonello Caracciolo. Nel 1400, il feudo passò alla famiglia Strambone, con Giovan Vincenzo, Duca di Salza e Principe di Volturara. I Signori Strambone espansero i confini del loro feudo, fino a comprendervi Parolise, Volturara, Montemarano e Pomigliano D'Arco.","SS. Pietro e Paolo","29 giugno","Antica","Informazione assente","Informazione assente",9,14,1,"Informazione assente","Festa per la Madonna delle Grazie, sagre della castagna e del fungo porcino","40.919358, 14.889807","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/7d1bf4c8-84cf-487c-ae3b-4af1eb27d888.jpg","irpiniainfo, wikipedia, comuniitaliani.it,","",
"San Mango sul Calore",1157,"Teodoro Boccuzzi","Sammanghesi","Malvito, Poppano, Carpignano, Verzari, Cesine",83050,14.59,5,"Il nome si ispira a quello di una chiesa presente in loco e dedicata a San Magnus, ed ha subito la corruzione di ""gn"" in ""n"". Questo santo fu anche il santo patrono fino al XVIII secolo. La specifica ""sul Calore"" deriva dalla vicinanza al fiume Calore.","In località Ciasca, nei pressi di S. Mango, sul fiume Calore si trova il ponte romano, detto anche ""Ponte di Annibale"", o anche ""Ponte del Diavolo"" di epoca tardo-romana, caratterizzato da arcate di oltre sessanta metri. Il borgo venne edificato nei pressi di una cappella dedicata a S. Magno divenuto col tempo S. Mango. Nel 1240 apparteneva a Filippo di San Mango della famiglia Capece. Seguirono come feudatari i: Malgario, Filangieri e Requesenz. Dal 1418 passò ai Caracciolo e poi ai Mastrogiudice.","San Teodoro","9 novembre","Medievale","Informazione assente","Informazione assente",4,15,3,"Mountain bike, trekking, percorso in auto","Mercato, il volo dell'Angelo, sagra dei fichi","40.959092, 14.973237","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/ac872720-05f3-405f-ba76-5fc4de8eff80.jpg","irpiniainfo, wikipedia, comuniitaliani.it, eventiesagre.it","",
"San Martino Valle Caudina",4851,"Pasquale Pisano","Sammartinesi","Campanino, Casadami, Clementi, Crocevia, Girone, Iardino, Innocenzi, La Pietra, Mancini, Masseria Teti, Poeti, Quercino, Rocchi, San Palerio, Stazione di San Martino Valle Caudina (Scalo), Tedeschi, Tufara Valle, Vernilli, Vitaliani",83018,23.32,20,"Il nome è ispirato e riflette il culto del Santo patrono del paese: San Martino appunto. La specifica ""Valle Caudina"" si riferisce alla sua posizione geografica.","Il territorio di San Martino risulta legato all'antica città di Caudium. Dei primi riferimenti impliciti a San Martino si hanno al tempo dei Santi Palerio, Vescovo di Telesia ed Equizio, suo diacono. Siamo nel IX secolo e le incursioni saracene rendono difficile la vita nel territorio del Principato di Benevento. In seguito all'assedio e alla rovina di Telesia, i due religiosi fuggirono ""per andarsi a ricoverare ne’ Monti Irpini"". Il culto di questi santi è ancora attivo a San Martino, anche se le reliquie subirono una sorte particolare: dimenticate per secoli, vennero ritrovate solo il 17 dicembre 1163 da tale Maraldo, forse un notaio. Dei riferimenti certi a San Martino Valle Caudina si hanno nel Catalogus Baronum, un elenco dei baroni del Regno di Sicilia fatto realizzare da Ruggero II nel XII secolo. In questo testo è scritto che il feudo venne tenuto dal Conte Gionata di Carinola (CE), un discendente della dinastia Drengot, insieme alla vicina Airola (BN) e a Conza della Campania (AV). A Gionata segue il figlio Riccardo, erede anche dei feudi di Carinola e Conza. ]In età sveva, il feudo passa quindi a Corrado Capece, Martino e principe di Sepino, padrone di Ceppaloni, Roccabascerana e Terranova Fossaceca. Nel 1860 Francesco Del Balzo fu nominato sindaco di San Martino da Francesco De Sanctis. Il figlio, Carlo del Balzo (1853-1908), fu scrittore, giornalista e deputato; scrisse vari romanzi tra cui: Napoli e i Napoletani, Parigi e i parigini (che ottenne un'accoglienza favorevole anche da Benedetto Croce); fu amico di Giovanni Verga e Matilde Serao. Pubblicò dieci romanzi documento e ben quindici volumi sul tema ""Poesie di mille autori intorno a Dante Alighieri"". Girolamo Beltramo Del Balzo fu sindaco di San Martino, eletto deputato di Avellino e Baiano nel 1873 (XV Legislatura) sconfiggendo De Sanctis","San Martino di Tours","11 novembre","Medievale","Informazione assente","Informazione assente",3,4,2,"Percorso lungo il torrente Caudino","Mercatino, Carnevale","41.02318982591991, 14.662346968492676","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/1e051cd6-0560-4c52-844d-54e24e457e49.jpg","Wikipedia","",
"San Michele di Serino",2497,"Michele Boccia","Sammichelesi","Non ha frazioni",83020,4.47,0,"Informazione assente","La storia di San Michele di Serino, nei primordi, si identifica e si confonde con quella degli abitatori dell'Alta Valle del Sabato, sanniti-irpini prima e coloni romani poi, essendo il suo territorio incluso in quello della colonia romana Abellinum. Bisogna giungere al VII secolo dopo Cristo, e alla conquista longobarda, per avere notizie certe di una località collegata all'attuale Comune di San Michele di Serino. Dell'anno 848 è, infatti, il patto scritto, pactum firmatum, che sanciva la pace fra i Principi longobardi Siconolfo e Radelchi, una pace ottenuta mediante la spartizione del Principato di Benevento e la fissazione dei confini dei rispettivi domini.Il patto, giunto fino a noi, sanciva che ""tra Benevento e Salerno il confine sia posto in località detta I PELLEGRINI dove per ciascuna parte sono 20 miglia""1. In questo luogo di ospizio e di transito dei pellegrini che, fin dall'epoca del dominio bizantino di Salerno (VI Secolo d.C.), si recavano in visita al santuario di San Michele del Monte Gargano, esisteva, già nel 700 d.C., la chiesa di S.Angelo ad Peregrinos e fu questa chiesa che diede l'attuale denominazione al villaggio e oggi Comune autonomo, di San Michele di Serino. La prima citazione di San Michele di Serino, con il nome che attualmente esso porta, si trova in un documento che reca la data del 4 novembre 1275.","San Michele Arcangelo","29 settembre","Antica","Informazione assente","Informazione assente",3,4,2,"Sentiero Italia","","40.87723968710363, 14.855740866997271","","","",
"San Nicola Baronia",765,"Giuseppe Moriello","Sannicolesi","Ferregne",83050,6.9,1,"Il nome è ispirato e riflette il culto di San Nicola. La specifica ""Baronia"" si riferisce all'appartenenza del luogo come ""baronia"" ai suoi antichi signori.","Citato come Sancto Nicola a Ripa, anticamente godeva di indipendenza amministrativa e divenne casale di Castel Baronia quando fu infeudato a Federico I di Napoli, secondogenito di Ferdinando I: questi, il 17 novembre 1487 lo diede in suffeudo al suo segretario, Oto Mancini, e la famiglia lo tenne come baronia fino al conte Pasquale Stanislao Mancini (Napoli 1888 - ivi 1924), 10º marchese di Fusignano e 11º barone del Casale di San Nicola a Ripa, nipote e omonimo del grande giurista. In seguito passò, come baronia di San Nicola, a Consalvo de Cordova (1515), al duca d'Aponte, ai Cavaniglia e ai Caracciolo di San Vito.","San Nicola di Bari","6 dicembre","Antica","Informazione assente","Informazione assente",3,10,3,"Percorso Apice Vecchio","Falò San Nicola","41.05891620712529, 15.199160260066487","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/fd5a062e-012a-4c09-bbd7-99a62254e551.jpg","","",
"San Potito Ultra",1571,"Pasquale Nazzaro","Sanpotitesi","Non ha frazioni",83050,4.54,0,"Il nome è ispirato e riflette il culto del Santo patrono del paese: San Potito appunto. La specifica ""Ultra"" si riferisce al fatto che il paese apparteneva al Principato Ulteriore, generato dalle divisioni amministrative.","Le origini di San Potito si ricolleghino in qualche modo al villaggio di Radicozzo, distrutto una prima volta nel 200 A.C., forse originariamente chiamato Ropicuozzo. Nei pressi della chiesa di S. Pietro, originariamente doveva insistere un tempio romano dedicato a Giano, sulle cui rovine era stata edificata la chiesa di S. Potito e che si trovava nell'abitato di Graziano, divenuto poi San Potito. E' probabile, che in epoca medioevale, i Longobardi avessero dato vita ad un vero e proprio borgo di dimensioni maggiori, che avrebbe finito per inglobare i due centri. Le prime notizie certe dell'esistenza di Radicozzo si rinvengono in un documento del 1231, redatto da ""Guglielmo, medico e notaio di Avellino, dove si parla del ""Casale Radicozzo, pertinenza di Candida"".","","","Antica","IV","Informazione assente","","","","","","40.92855463181555, 14.8730873247717","","","",
"San Sossio Baronia",1610,"Giovanni Contardi","Sossiani","Civita, Molara, Montuccio, Montemauro, Turro, Cesinelle, Monticelli, Costa del Vallone, Santa Lucia",83050,19.19,9,"Il nome San Sossio trova nella leggenda la sua giustificazione. Infatti, si narra che un asino, sul quale venivano trasportate le reliquie di San Sossio martire, destinate ad un paese vicino, giunto in località ora detta Sella Coppola, infilò la strada che conduceva alle poche case esistenti in fondo alla valle e non ci fu verso di fargli cambiare direzione. Si gridò al miracolo: le reliquie rimasero nella chiesetta dell'Annunziata e fu dato il nome di San Sossio al paese.La specificazione del nome, acquisita nel 1913 con il Regio Decreto del 3 aprile 1913 n. 337, si riferisce all'appartenenza dell'abitato alla Baronia di Vico. Per la prima volta venne usato il termine ""Baronia"" nel 1122 per indicare i possedimenti di Riccardo filius Riccardi che divenne appunto barone di Trevico, Contra e Flumeri.","Nell'Ottocento, dopo la cessazione dei vincoli feudali, il comune ha fatto parte del circondario di Castelbaronia ricadente nel distretto di Ariano nell'ambito del Principato Ultra all'interno del Regno delle Due Sicilie. In epoca postunitaria San Nicola Baronia fu parte del mandamento di Castelbaronia nell'ambito del circondario di Ariano di Puglia all'interno della provincia di Avellino. Il borgo rimase gravemente danneggiato dal terremoto del 1930.","San Pietro martire, San Sossio Levita e Martire","29 aprile","Medievale","Informazione assente",1269,"","","","","","41.06928474025286, 15.201110469758621","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/304fc758-978b-4647-852a-1e3de46b631d.jpeg","","",
"Sant'Andrea di Conza",1461,"Avv. Gerardo D'Angola","Santandreani","Non ha frazioni",83053,7.05,0,"Il nome è ispirato e riflette il culto del Santo patrono del paese: Sant'Andrea appunto. La specifica ""di Conza"" si riferisce alla sua posizione geografica, nei pressi di Conza della Campania.","Le radici di Sant'Andrea di Conza affondano nel primo medioevo allorquando il Conte Gionata di Balvano, nel 1161 donò la chiesa e il territorio del casale, con tutti i suoi abitanti, alla Mensa arcivescovile di Conza, di cui Sant'Andrea divenne feudo.Il centro feudale ha seguito le vicende del territorio alternando la sua dipendenza ad antiche famiglie feudali alla Chiesa di Conza.Fu feudo della Mensa arcivescovile di Conza, in seguito passò alla potente casata Gesualdo nel 1389, indi alla famiglia Sinerchia che la tenne con titolo di Conte sino al 1485 anno in cui ne fu spogliata a seguito della partecipazione alla Congiura dei baroni.In seguito passò alla Regia Camera e poi nuovamente alla Mensa arcivescovile di cui ha seguito le vicende storiche e amministrative fino all'abolizione della feudalità nel 1806. Nel 1861, durante l'esplosione del brigantaggio, venne occupata dagli uomini di Carmine Crocco, famoso brigante della Basilicata.","Sant'Andrea apostolo","30 novembre","Medievale","XII",1161,11,3,3,0,"Processione dei Misteri,Festa dell' Incoronata,Rito delle Maggiaiole,Festa della Madonna del Carmine,Festa di S.Andrea e S.Emidio,Sagra del Fuoco a S.Antonio,Natale all'ex fornace.Mercato","40.843397, 15.370605","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/d69f24b2-6347-4abc-a656-a69464c6087e.jpg","wikipedia","",
"Sant'Angelo a Scala",736,"Carmine De Fazio","Santangiolesi","Non ha frazioni",83010,11.15,0,"In merito alla questione etimologica, l'Angelo cui si riferisce la prima parte del nome evoca, senza dubbio, San Michele Arcangelo il cui culto fu diffuso dai Longobardi che eressero una piccola chiesa, citata in un documento del 402, dedicata al Santo. Quanto allo specificazione ""a Scala"" (""ad scalas"", nei documenti d'epoca medievale) potrebbe rappresentare un riferimento generico alla configurazione delle montagne che circondano il borgo ovvero alla ripida stradina (quasi una scala, appunto) che, in passato, collegava il borgo ad un antico edificio religioso situato più a monte.","Sant'Angelo a Scala ha origini antichissime come dimostra la presenza, sul territorio, di Grotte paleolitiche. Notizie relative al primo centro abitato di Sant'Angelo a Scala risalgono alla città tardo-romana Asculam, rinvenuta in località Malfetana.  Con i Normanni, Sant'Angelo venne costituito in feudo. A quest'epoca risale la costruzione di un castello e di un abitato fortificato, di dimensioni limitate rispetto ai circostanti insediamenti del territorio del Partenio.","San Michele Arcangelo","29 settembre","Antica","Informazione assente","Informazione assente",2,10,2,0,"Processioni dedicate a San Michele e San Silvestro, sagre","40.9752, 14.7405","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/aa18068c-46d1-434a-8793-108a978ac2a2.jpg","comune.santangeloascala.av.it, wikipedia, comuniitaliani.it, portaleabruzzo.com","",
"Sant'Angelo all'Esca",782,"Attilio Iannuzzo","Santangiolesi","Non ha frazioni",83050,5.39,0,"Il nome del paese, Sant'Angelo, nasce probabilmente come atto di devozione all'angelo guerriero, S. Michele Arcangelo.In realtà, il culto fu introdotto dai longobardi, che adoravano il dio Wotan, una divinità guerriera. Con la caduta dell'Impero Romano, le popolazioni barbare si mescolarono poi a quelle indigene, convertendosi al Cristianesimo. Fu allora che la figura dell'Arcangelo Michele, si sostituì all'originaria divinità guerriera dei longobardi, Wotan.","Il paese sorge su un dolce declivio collinare.Un luogo propiziatorio, prescelto nell'antichità per edificare un tempio a Cerere, la dea delle messi. Anche Dioniso fece la sua parte, donando al territorio un vitigno come l'aglianico, che qui rappresenta una produzione autoctona di eccellenza.Il possedimento che faceva parte di un ager qui fuerat Taurasinorum era occupato dai coloni romani della tribù Cornelia, e usato come deposito di granaglie, al fine di fornire aiuto e viveri ai romani di Aeclanum, colonia di Roma.L'appellativo Esca potrebbe derivare da iscla, zona pianeggiante e ricca di acqua, o dall'etimo greco, èoxàpai, l'altare su cui si immolavano le vittime sacrificali. A suggello dell'ipotesi che qui fu sepolta Lollia, una sacerdotessa di Cerere.Le origini del paese sono dunque avvolte dalla Leggenda, e non c'è un rimando a fonti certe.Si ipotizza la presenza di insediamenti romani, stanziatisi in loco, proprio per la congenialità del terreno alla coltivazione della vite e dell'uva.","San Michele Arcangelo","8 maggio, 29 settembre","Antica","Informazione assente","Informazione assente",3,50,1,"Informazione assente","Mercatino del Pesce, Mercato, Santo patrono San Michele Arcangelo, correre tra le terre di bacco, sagra della seppia, il pastiero, escajazz.","41.0075, 14.9922","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/c19d4864-4175-4bd4-8072-a7d5ee35060f.jpg","aziende.tuttosuitalia.com, comunesantangeloallesca.com, portaleabruzzo.com","",
